1.	г. Саратов	Саратовская область	840,785 	839,755 	840,270   
2.	г. Краснодар	Краснодарский край	805,680 	784,048 	794,864   
3.	г. Тольятти	Самарская область	718,127 	719,149 	718,638   
4.	г. Тюмень	Тюменская область без автономных округов 	679,861 	634,171 	657,016   
5.	г. Ижевск 	Удмуртская Республика	637,309 	632,913 	635,111   
6.	г. Барнаул	Алтайский край	632,784 	629,681 	631,233   
7.	г. Ульяновск	Ульяновская область	616,672 	615,306 	615,989   
8.	г. Иркутск	Иркутская область	612,973 	606,137 	609,555   
9.	г. Владивосток	Приморский край	603,244 	600,378 	601,811   
10.	г. Ярославль	Ярославская область	602,400 	599,169 	600,785   
11.	г. Хабаровск	Хабаровский край	601,043 	593,636 	597,340   
12.	г. Махачкала 	Республика Дагестан	578,332 	576,194 	577,263   
13.	г. Оренбург	Оренбургская область	560,046 	556,127 	558,087   
14.	г. Томск	Томская область	557,179 	547,989 	552,584   
15.	г. Новокузнецк	Кемеровская область	550,213 	549,182 	549,698   
16.	г. Кемерово	Кемеровская область	544,006 	540,095 	542,051   
17.	г. Астрахань	Астраханская область	530,863 	527,345 	529,104   
18.	г. Рязань	Рязанская область	530,341 	527,905 	529,123   
19.	г. Набережные Челны	Республика Татарстан	522,048 	519,025 	520,537   
20.	г. Пенза	Пензенская область	521,329 	519,900 	520,615   
21.	г. Липецк	Липецкая область 	509,719 	509,098 	509,409   
